ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
T45.92XS,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.93,"Poisoning by unspecified primarily systemic and hematological agent, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.93XA,"Poisoning by unspecified primarily systemic and hematological agent, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.93XD,"Poisoning by unspecified primarily systemic and hematological agent, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.93XS,"Poisoning by unspecified primarily systemic and hematological agent, assault, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.94,"Poisoning by unspecified primarily systemic and hematological agent, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.94XA,"Poisoning by unspecified primarily systemic and hematological agent, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.94XD,"Poisoning by unspecified primarily systemic and hematological agent, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.94XS,"Poisoning by unspecified primarily systemic and hematological agent, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.95,Adverse effect of unspecified primarily systemic and hematological agent,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.95XA,"Adverse effect of unspecified primarily systemic and hematological agent, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.95XD,"Adverse effect of unspecified primarily systemic and hematological agent, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.95XS,"Adverse effect of unspecified primarily systemic and hematological agent, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.96,Underdosing of unspecified primarily systemic and hematological agent,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.96XA,"Underdosing of unspecified primarily systemic and hematological agent, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.96XD,"Underdosing of unspecified primarily systemic and hematological agent, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.96XS,"Underdosing of unspecified primarily systemic and hematological agent, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.AX,"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.AX1,"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional)
-Poisoning by immune checkpoint inhibitors and immunostimulant drugs NOS",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.AX2,"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.AX3,"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs, assault",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.AX4,"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs, undetermined",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.AX5,Adverse effect of immune checkpoint inhibitors and immunostimulant drugs,Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.AX6,Underdosing of immune checkpoint inhibitors and immunostimulant drugs,Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T66,"Radiation sickness, unspecified",Drug poisonings or other complications,Category Code,Category Code (Expanded),,,,
T66.XXXA,"Radiation sickness, unspecified, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T66.XXXD,"Radiation sickness, unspecified, subsqeuent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T66.XXXS,"Radiation sickness, unspecified, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.81,Extravasation of vesicant agent,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T80.810,Extravasation of vesicant antineoplastic chemotherapy,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T80.810A,"Extravasation of vesicant antineoplastic chemotherapy, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.810D,"Extravasation of vesicant antineoplastic chemotherapy, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.810S,"Extravasation of vesicant antineoplastic chemotherapy, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.818,Extravasation of other vesicant agent,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T80.818A,"Extravasation of other vesicant agent, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.818D,"Extravasation of other vesicant agent, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.818S,"Extravasation of other vesicant agent, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.82,Complication of immune effector cell therapy,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T80.82XA,"Complication of immune effector cell therapy, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.82XD,"Complication of immune effector cell therapy, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T80.82XS,"Complication of immune effector cell therapy, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T86.0,Complications of bone marrow transplant,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T86.00,Unspecified complication of bone marrow transplant,Drug poisonings or other complications,Supplemental,Expanded,,,,
T86.01,Bone marrow transplant rejection,Drug poisonings or other complications,Supplemental,Expanded,,,,
T86.02,Bone marrow transplant failure,Drug poisonings or other complications,Supplemental,Expanded,,,,
T86.03,Bone marrow transplant infection,Drug poisonings or other complications,Supplemental,Expanded,,,,
T86.09,Other complications of bone marrow transplant,Drug poisonings or other complications,Supplemental,Expanded,,,,
Y63.2,Overdose of radiation given during therapy,Drug poisonings or other complications,Supplemental,Expanded,,,,
Y84.2,"Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Encounter for screening for malignant neoplasms,Supplemental,Expanded,,,,
Z08,Encounter for follow-up examination after completed treatment for malignant neoplasm,Encounter for screening for malignant neoplasms,Supplemental,Expanded,,,,
Z40,Encounter for prophylactic surgery,Encounter for prophylactic surgery,Category Code,Category Code,,,,
Z40.0,Encounter for prophylactic surgery for risk factors related to malignant neoplasms,Encounter for prophylactic surgery,Subcategory Code,Subcategory Code,,,,
Z40.00,Encounter for prophylactic removal of unspecified organ,Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z40.01,Encounter for prophylactic removal of breast,Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z40.02,Encounter for prophylactic removal of ovary(s),Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z40.03,Encounter for prophylactic removal of fallopian tube(s ),Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z40.09,Encounter for prophylactic removal of other organ,Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z40.8,Encounter for other prophylactic surgery,Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z40.9,"Encounter for prophylactic surgery, unspecified",Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z42.1,Encounter for breast reconstruction following mastectomy,Encounter for prophylactic surgery,Supplemental,Non-Path casefinding,,,,
Z48.290,Encounter for aftercare following bone marrow transplant,Encounter for aftercare,Supplemental,Non-Path casefinding,,,,
Z48.3,Aftercare following surgery for neoplasm,Encounter for aftercare,Supplemental,Expanded,,,,
Z51.0,Encounter for antineoplastic radiation therapy,Encounter for neoplastic treatment,Supplemental,Expanded,,,,
Z51.1,Encounter for antineoplastic chemotherapy and immunotherapy,Encounter for neoplastic treatment,Subcategory Code,Subcategory Code,,,,
Z51.11,Encounter for antineoplastic chemotherapy,Encounter for neoplastic treatment,Supplemental,Expanded,,,,
Z51.12,Encounter for antineoplastic immunotherapy,Encounter for neoplastic treatment,Supplemental,Expanded,,,,
Z51.5,Encounter for palliative care,Encounter for neoplastic treatment,Supplemental,Non-Path casefinding,,,,
Z51.89,Encounter for other specified aftercare,Encounter for neoplastic treatment,Supplemental,Non-Path casefinding,,,,
Z79.63,Long term (current) use of chemotherapeutic agent,Long term use cancer related therapy,Subcategory Code,Subcategory Code,,,,
Z79.630,Long term (current) use of alkylating agent,Long term use cancer related therapy,Supplemental,Non-Path casefinding,,,,
Z79.631,Long term (current) use of antimetabolite agent,Long term use cancer related therapy,Supplemental,Non-Path casefinding,,,,
Z79.632,Long term (current) use of antitumor antibiotic,Long term use cancer related therapy,Supplemental,Non-Path casefinding,,,,
Z79.633,Long term (current) use of mitotic inhibitor,Long term use cancer related therapy,Supplemental,Non-Path casefinding,,,,
Z79.634,Long term (current) use of topoisomerase inhibitor,Long term use cancer related therapy,Supplemental,Non-Path casefinding,,,,
Z79.64,Long term (current) use of myelosuppressive agent,Long term use cancer related therapy,Supplemental,Non-Path casefinding,,,,
Z79.81,Long term (current) use of agents affecting estrogen receptors and estrogen levels,Long term use estrogen therapy,Subcategory Code,Subcategory Code,,,,
Z79.810,Long term (current) use of selective estrogen receptor modulators (SERMs),Long term use estrogen therapy,Supplemental,Non-Path casefinding,,,,
